x0,x1,x2,x3,x4,y
-0.25588,0.511432,-0.226096,-0.315068,-0.930018,1
-0.213302,-0.276164,-0.012912,-0.347967,0.154108,1
-1.666063,0.855251,0.506385,0.498818,-1.691365,0
-1.743888,-2.178733,1.65345,1.893391,0.570558,0
0.308703,0.394154,-0.661137,1.71753,0.556609,0
1.197005,-0.876106,0.905237,0.323644,0.134747,1
-0.447355,-0.956912,-0.52059,1.220921,-0.807946,0
0.244759,-0.235672,-0.710029,-1.089505,-0.55017,1
-0.106139,-0.81726,0.49739,-0.06228,-1.464657,1
0.827846,-0.282151,0.019598,-0.836018,-1.481136,1
0.615443,-0.611759,-0.452702,-1.264788,-0.967614,1
-0.531121,1.065908,-0.386165,-0.181719,-0.303568,0
-1.899943,-2.518235,0.357397,-0.736262,-1.119787,1
0.977371,-0.589115,0.144588,0.258436,0.233962,1
0.51865,0.547738,-1.568311,1.281734,0.955102,0
0.529624,1.375032,-1.237295,0.530366,-0.609376,0
-1.311189,1.610106,0.551964,-0.150139,0.324867,0
0.649831,-1.327815,0.125829,-0.007246,0.090286,1
-0.880464,0.946455,1.465498,-0.444826,-1.379993,1
-0.134748,2.021609,0.713406,0.381392,-2.001412,1
-0.787039,0.631521,1.12869,0.859002,0.345225,0
0.142356,0.477322,0.776761,0.020433,0.007007,0
0.763982,0.565878,2.010632,0.324943,-0.427593,1
-0.372551,-0.54666,0.778967,1.393306,1.356029,0
-1.123909,0.243897,0.398335,0.238573,-0.431151,0
0.655146,0.11418,0.183565,1.168151,-0.371574,0
-0.225595,-0.062742,-2.728085,-0.486899,1.00857,1
-1.168562,-0.404652,0.449223,0.169465,-1.221634,0
-0.34095,0.62329,1.091788,-2.68283,1.088679,1
-1.447543,-0.0456,-0.715681,-0.931668,-0.103679,1
0.797124,0.141377,-0.088481,1.533256,1.048471,1
-0.293815,2.483394,-0.187002,-0.46552,0.530471,0
0.222222,0.638645,-1.527325,-1.509511,0.614943,1
-0.963158,0.129177,-0.400614,-1.168453,-1.85625,0
0.001006,-1.140307,0.766037,1.589423,-0.890221,0
1.560332,-0.80373,0.616682,1.517474,-0.527047,0
0.399595,0.409964,1.498095,-1.020141,1.136237,1
1.48736,-0.511107,-0.775622,-0.505319,-0.159497,0
1.424215,-0.263436,-2.296725,-0.387191,-1.853923,1
0.818783,0.184603,0.739043,-0.197843,0.714949,1
-0.061285,1.040335,1.491481,1.609893,-0.671819,1
0.879904,0.861536,-0.591081,1.025981,-0.583322,0
-0.192214,-0.028598,-0.591522,0.233663,1.791267,1
0.044269,-1.585048,0.266456,-0.832917,-0.308621,1
-1.646226,-0.597846,1.007411,0.792737,0.007618,0
0.805236,-1.282952,-0.062231,0.1385,-2.202902,1
-0.902359,-0.770961,-1.531767,-0.117275,-1.179607,1
0.364146,1.446543,-0.557003,1.704531,-1.671955,0
-2.230037,-0.875063,0.291024,-0.458582,0.779984,1
0.747557,0.022908,0.389023,-0.848408,-1.531197,1
0.896556,1.309425,-0.296898,-0.469507,1.940298,1
-1.758133,0.963345,-0.296336,-3.020939,0.242323,0
0.561197,0.902576,-0.905768,-0.089096,0.292802,0
0.825385,1.261355,0.155184,-0.177823,0.069814,1
-0.853028,-0.841604,2.66668,1.139894,0.637395,1
-2.592919,-0.027751,0.282871,0.143889,-0.780987,1
-1.944208,1.033253,0.324885,-0.702071,1.325572,0
1.80934,-0.132706,-0.412103,1.428055,0.539889,1
2.120467,1.037387,-1.194229,-1.345008,1.703128,0
0.989149,0.715672,-0.835019,-0.674311,1.075167,1
-0.058909,0.522755,-0.727551,-0.124224,0.458547,1
0.376689,0.258089,0.825409,-0.571915,1.588386,1
-0.625928,-0.000348,-0.109604,0.156994,-0.000496,0
0.175869,-0.615095,-0.204349,-2.306451,0.368863,0
0.446447,-0.965701,-1.896153,0.05957,-0.930498,1
0.73986,0.910532,-0.100868,0.774211,-1.361576,1
-0.763356,0.520899,0.496864,0.176729,1.483864,0
0.706503,0.217852,0.359273,1.097053,-1.69859,1
-0.148435,0.729844,-0.296443,1.068863,0.596342,0
0.908253,2.605603,-0.637917,-0.716227,-0.21824,0
-0.343228,0.874141,0.98045,0.006585,-1.167138,1
0.187536,-0.099583,-0.002964,-0.038557,0.431964,1
0.206043,0.05521,-0.24336,0.686161,-1.054209,0
-0.628684,-0.870753,-1.326388,0.72032,-0.684212,1
0.566395,-0.054513,-0.232114,-1.416825,1.827815,1
0.515969,-1.133541,-1.167258,0.208723,-0.50643,1
-1.897405,-0.052124,0.630343,-1.762037,-1.825448,0
-1.065088,-0.252011,-0.677544,0.524249,0.103973,0
1.502654,1.164315,-1.311878,-0.505418,-1.060151,1
-1.076617,1.787344,0.037226,-0.012887,-1.182391,0
-0.199458,-0.311259,-0.063213,-0.759754,0.701272,1
0.354269,0.455666,1.576451,1.15361,-0.177256,1
-1.504094,0.199523,0.147439,-1.377522,-0.250573,1
-0.313828,-0.04082,1.648449,-0.434269,1.220232,1
0.734461,0.294328,-0.722561,-1.354407,-0.373112,1
-0.740393,-1.093199,0.246792,1.556893,1.434701,1
2.324298,-0.321478,1.101709,0.121661,1.116159,1
-2.375922,-0.080271,0.681608,0.64811,-0.230636,0
0.76644,0.947375,0.510062,-0.156073,0.509128,1
-1.078133,-0.209672,-0.694525,0.923695,-0.691665,1
1.16304,0.026242,-0.807642,0.25816,0.582125,1
0.710069,0.031708,-0.049804,0.008816,-1.911544,0
1.414128,-0.704948,0.674095,-0.479693,-0.694005,1
0.718665,-0.80129,-0.502719,-0.721659,0.350434,0
1.522868,1.131623,-0.519837,2.28358,0.003335,0
0.785965,0.356761,0.898584,1.998488,-0.564781,1
-1.505198,-1.621062,1.175756,-0.459549,-0.060533,0
-0.312761,-1.592499,0.507933,-0.505378,-0.647242,1
0.46761,-0.231719,-0.903713,0.159572,-0.484643,1
1.565835,-0.093279,1.457909,-0.40088,1.212072,1
0.29477,0.515525,0.568858,2.098683,-0.704854,0
0.012952,1.093135,-0.024214,0.417996,0.502667,1
-0.238708,0.366123,0.052781,0.771356,-1.89259,0
-0.885039,-0.882303,0.538531,-0.961426,-0.147128,0
0.745776,0.306495,0.508056,-0.104597,-1.409108,1
-0.030069,0.168752,0.777009,0.009817,1.01032,1
1.862585,-0.554564,0.146518,-0.150453,1.540224,1
0.316377,-1.311495,0.222374,0.996787,0.001119,0
0.899405,-1.749144,0.744361,-0.13116,0.448415,0
0.366456,-0.986299,-2.168951,-0.255062,-1.421088,1
-1.22112,0.335504,1.692584,0.429442,0.245506,0
2.233649,-0.173493,0.493716,-0.016031,1.422162,1
0.291021,0.247396,-1.306871,-0.202249,-0.542661,1
0.460055,0.845343,0.055647,-2.450258,0.617798,1
0.84611,-0.757609,0.071989,0.749902,1.514219,1
-0.382562,1.163553,0.160286,-0.477007,-0.928425,1
-1.129971,-1.976864,0.038284,0.260613,-0.548932,0
0.888847,0.572353,1.691787,-0.080925,-1.182943,1
0.848899,-0.162717,0.308475,-0.655496,0.301721,1
1.663467,1.117246,-0.348119,0.272843,0.656522,1
-1.237023,-2.100546,0.606008,0.795439,0.623684,1
2.630507,0.333673,0.112699,-1.675037,1.327818,1
-0.375398,-3.444705,0.812416,-0.372393,0.923962,0
2.154145,1.448212,0.294161,-0.699648,0.668529,1
0.036838,0.066277,-0.173272,0.914364,0.493974,0
-0.141782,0.248381,0.905746,0.807666,-1.673233,0
1.078825,0.344974,-1.56436,1.609949,0.333487,0
0.89145,1.010022,0.194528,0.646179,-1.578936,0
0.350924,0.078104,0.675652,-0.371019,-0.036467,1
-2.138945,-0.351473,2.490364,-0.578482,-0.522923,0
-0.32579,0.734008,1.678316,0.03978,1.226921,1
-0.710493,0.721468,0.110818,-2.476155,0.38917,1
-0.575119,0.497388,-1.055146,0.497016,0.571904,0
-0.277507,-0.134437,-1.855364,0.195268,-1.353165,0
-0.401135,0.858767,0.081651,-0.397437,0.543482,0
1.581277,0.241076,0.103843,-0.83984,-0.2881,1
2.208359,-1.984868,-0.039157,0.417283,0.965731,1
0.669006,-0.690332,0.238958,-1.205995,0.694525,1
